iter	Passed	Remaining
689	1241	557
690	1243	555
691	1244	554
692	1246	552
693	1247	550
694	1248	548
695	1250	545
696	1251	543
697	1252	541
698	1253	539
699	1255	537
700	1256	535
701	1257	533
702	1259	532
703	1260	530
704	1262	528
705	1263	526
706	1264	524
707	1266	522
708	1267	520
709	1268	518
710	1269	516
711	1271	514
712	1272	512
713	1273	510
714	1275	508
715	1276	506
716	1277	504
717	1278	502
718	1280	500
719	1281	498
720	1282	496
721	1283	494
722	1285	492
723	1286	490
724	1288	488
725	1290	487
726	1291	485
727	1293	483
728	1294	481
729	1295	479
730	1297	477
731	1298	475
732	1299	473
733	1300	471
734	1302	469
735	1303	467
736	1305	465
737	1306	463
738	1308	462
739	1309	460
740	1310	458
741	1312	456
742	1313	454
743	1315	452
744	1316	450
745	1318	448
746	1319	447
747	1321	445
748	1322	443
749	1324	441
750	1325	439
751	1326	437
752	1328	435
753	1329	433
754	1331	432
755	1333	430
756	1334	428
757	1335	426
758	1337	424
759	1338	422
760	1340	420
761	1341	418
762	1342	417
763	1344	415
764	1345	413
765	1347	411
766	1348	409
767	1350	407
768	1351	406
769	1353	404
770	1354	402
771	1356	400
772	1357	398
773	1358	396
774	1360	394
775	1361	393
776	1363	391
777	1365	389
778	1366	387
779	1367	385
780	1369	383
781	1370	382
782	1371	380
783	1373	378
784	1374	376
785	1376	374
786	1378	373
787	1379	371
788	1381	369
789	1382	367
790	1384	365
791	1385	363
792	1386	361
793	1388	360
794	1389	358
795	1391	356
796	1393	354
797	1395	353
798	1397	351
799	1398	349
800	1400	347
801	1402	346
802	1403	344
803	1405	342
804	1407	340
805	1409	339
806	1410	337
807	1412	335
808	1414	333
809	1415	332
810	1416	330
811	1418	328
812	1419	326
813	1421	324
814	1423	323
815	1424	321
816	1426	319
817	1427	317
818	1428	315
819	1430	314
820	1431	312
821	1433	310
822	1434	308
823	1436	306
824	1438	305
825	1439	303
826	1441	301
827	1442	299
828	1444	297
829	1445	296
830	1446	294
831	1448	292
832	1450	290
833	1451	288
834	1453	287
835	1454	285
836	1455	283
837	1456	281
838	1458	279
839	1459	277
840	1460	276
841	1461	274
842	1463	272
843	1464	270
844	1466	269
845	1468	267
846	1469	265
847	1470	263
848	1472	261
849	1473	260
850	1475	258
851	1476	256
852	1478	254
853	1479	252
854	1481	251
855	1482	249
856	1484	247
857	1485	245
858	1487	244
859	1488	242
860	1489	240
861	1491	238
862	1493	237
863	1495	235
864	1496	233
865	1497	231
866	1499	229
867	1500	228
868	1501	226
869	1502	224
870	1504	222
871	1505	221
872	1507	219
873	1508	217
874	1509	215
875	1510	213
876	1512	212
877	1513	210
878	1514	208
879	1515	206
880	1517	204
881	1518	203
882	1519	201
883	1521	199
884	1522	197
885	1523	196
886	1524	194
887	1526	192
888	1527	190
889	1528	188
890	1529	187
891	1530	185
892	1532	183
893	1533	181
894	1535	180
895	1536	178
896	1537	176
897	1539	174
898	1540	173
899	1541	171
900	1542	169
901	1544	167
902	1545	166
903	1546	164
904	1547	162
905	1549	160
906	1550	159
907	1552	157
908	1553	155
909	1554	153
910	1555	151
911	1557	150
912	1558	148
913	1559	146
914	1560	144
915	1562	143
916	1563	141
917	1565	139
918	1567	138
919	1568	136
920	1570	134
921	1571	132
922	1572	131
923	1574	129
924	1575	127
925	1577	126
926	1578	124
927	1580	122
928	1582	120
929	1583	119
930	1584	117
931	1586	115
932	1587	114
933	1589	112
934	1590	110
935	1592	108
936	1593	107
937	1595	105
938	1597	103
939	1598	102
940	1599	100
941	1601	98
942	1602	96
943	1603	95
944	1605	93
945	1606	91
946	1608	90
947	1609	88
948	1611	86
949	1612	84
950	1614	83
951	1615	81
952	1616	79
953	1618	78
954	1619	76
955	1621	74
956	1622	72
957	1624	71
958	1626	69
959	1627	67
960	1628	66
961	1630	64
962	1631	62
963	1632	60
964	1634	59
965	1635	57
966	1637	55
967	1639	54
968	1640	52
969	1642	50
970	1643	49
971	1645	47
972	1646	45
973	1648	43
974	1649	42
975	1651	40
976	1652	38
977	1654	37
978	1655	35
979	1657	33
980	1658	32
981	1659	30
982	1661	28
983	1662	27
984	1664	25
985	1665	23
986	1667	21
987	1668	20
988	1670	18
989	1672	16
990	1673	15
991	1675	13
992	1676	11
993	1678	10
994	1679	8
995	1681	6
996	1682	5
997	1684	3
998	1685	1
999	1686	0
